epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2759,1.45395,4.68301,1.57546,0.61896,0.07143,0.05673,0.03821,1.42699,6.16277,1.63078,8.459e-05,8.459e-05,8.459e-05
2,56.0773,1.262,3.10664,1.44215,0.05753,0.14286,0.06427,0.03421,1.49127,9.91761,1.70728,0.000175703,0.000175703,0.000175703
3,70.7623,1.28484,2.6624,1.42032,0.49496,0.09524,0.0695,0.03677,1.67188,5.87583,1.75925,0.000265597,0.000265597,0.000265597
4,83.3589,1.18945,2.25301,1.31203,0.52637,0.23129,0.11788,0.06155,1.59869,4.44228,1.71992,0.000354274,0.000354274,0.000354274
5,95.7838,1.22095,2.0754,1.34822,0.61149,0.17833,0.16029,0.10909,1.44357,3.70428,1.70018,0.000441732,0.000441732,0.000441732
6,111.823,1.20054,1.93016,1.36448,0.61976,0.15489,0.16521,0.13151,1.39944,3.07648,1.70073,0.000527972,0.000527972,0.000527972
7,123.742,1.22123,1.87709,1.32574,0.10902,0.28016,0.11801,0.06907,1.70613,4.03125,2.14192,0.000612995,0.000612995,0.000612995
8,138.491,1.22188,1.78662,1.31796,0.62373,0.11224,0.09687,0.05983,1.81039,3.69404,2.42658,0.000696799,0.000696799,0.000696799
9,150.467,1.20508,1.73899,1.33438,0.24199,0.10305,0.12543,0.08994,1.66214,3.85607,2.11474,0.000728397,0.000728397,0.000728397
10,166.076,1.24427,1.70448,1.388,0.46882,0.17381,0.13027,0.07672,1.80169,3.12621,2.06801,0.000723321,0.000723321,0.000723321
11,177.428,1.26973,1.72355,1.33637,0.67243,0.10884,0.1004,0.05494,1.66193,3.75777,2.05947,0.000718246,0.000718246,0.000718246
12,192.399,1.2232,1.62788,1.36733,0.09288,0.19388,0.12042,0.07904,1.70957,2.86162,2.00571,0.000713171,0.000713171,0.000713171
13,204.633,1.19332,1.56842,1.35484,0.34671,0.33395,0.15448,0.06748,1.6241,2.80019,1.86285,0.000708095,0.000708095,0.000708095
14,219.294,1.12447,1.48762,1.32901,0.50446,0.16156,0.13932,0.07907,1.48449,2.87249,1.74478,0.00070302,0.00070302,0.00070302
15,232.829,1.16776,1.47814,1.31244,0.1328,0.27869,0.18439,0.10515,1.56647,2.86879,1.87025,0.000697944,0.000697944,0.000697944
16,245.176,1.16077,1.4891,1.36636,0.33758,0.13489,0.1484,0.08087,1.71666,2.97945,2.00312,0.000692869,0.000692869,0.000692869
17,260.772,1.12539,1.38117,1.29704,0.43712,0.1992,0.14885,0.08799,1.73836,3.06934,2.04166,0.000687794,0.000687794,0.000687794
18,271.008,1.14557,1.31312,1.31632,0.44534,0.23178,0.14946,0.07803,1.5947,2.98997,1.8482,0.000682718,0.000682718,0.000682718
19,284.92,1.12703,1.34301,1.31116,0.301,0.13571,0.14991,0.08972,1.59862,2.79891,1.76166,0.000677643,0.000677643,0.000677643
20,298.38,1.1073,1.25564,1.28384,0.45116,0.18998,0.20876,0.09589,1.65499,2.44555,1.87591,0.000672567,0.000672567,0.000672567
21,317.261,1.09656,1.28409,1.2504,0.47774,0.27551,0.26592,0.11459,1.79021,3.05586,2.1258,0.000667492,0.000667492,0.000667492
22,329.279,1.06844,1.19438,1.24402,0.35598,0.32891,0.23851,0.10641,1.84042,2.72719,2.26909,0.000662417,0.000662417,0.000662417
23,344.141,1.12569,1.27023,1.2815,0.82007,0.11054,0.1855,0.09078,1.77032,2.94819,2.07488,0.000657341,0.000657341,0.000657341
24,356.036,1.07524,1.22461,1.26012,0.46999,0.16837,0.17978,0.1075,1.63792,2.83381,1.94327,0.000652266,0.000652266,0.000652266
25,371.901,1.01356,1.1463,1.20806,0.29424,0.28367,0.18685,0.09229,1.75361,2.98155,1.96406,0.00064719,0.00064719,0.00064719
26,382.464,1.03466,1.2229,1.27941,0.67265,0.16603,0.19052,0.07252,1.60533,2.98811,1.9091,0.000642115,0.000642115,0.000642115
27,398.924,1.02762,1.11146,1.23532,0.7014,0.17687,0.2023,0.1276,1.65472,2.7091,1.94112,0.00063704,0.00063704,0.00063704
28,409.087,1.02423,1.07351,1.22628,0.35263,0.17143,0.13185,0.06213,1.69139,2.85753,1.91196,0.000631964,0.000631964,0.000631964
29,424.679,0.98476,1.04925,1.20111,0.31221,0.16463,0.09512,0.05379,1.77236,3.03985,2.0598,0.000626889,0.000626889,0.000626889
30,436.073,0.98736,1.00242,1.20275,0.23815,0.13334,0.10847,0.05893,1.76649,2.72356,2.07752,0.000621813,0.000621813,0.000621813
31,450.692,0.96103,0.98263,1.20104,0.67312,0.19863,0.16113,0.07455,1.65977,2.41363,1.91979,0.000616738,0.000616738,0.000616738
32,463.322,0.9643,0.95845,1.15619,0.49489,0.20748,0.20919,0.10641,1.77933,2.61254,1.99533,0.000611663,0.000611663,0.000611663
33,477,0.93041,1.00713,1.16624,0.5281,0.19853,0.22005,0.10405,1.58417,2.47829,1.85902,0.000606587,0.000606587,0.000606587
34,489.503,0.95508,1.00294,1.20371,0.35725,0.18216,0.21402,0.10914,1.62119,2.30647,1.84704,0.000601512,0.000601512,0.000601512
35,502.596,0.95384,0.97496,1.18887,0.42923,0.29501,0.30651,0.15269,1.53967,2.38554,1.73405,0.000596436,0.000596436,0.000596436
36,515.7,0.90424,0.93922,1.15975,0.53142,0.31025,0.2858,0.14654,1.57218,2.38166,1.78644,0.000591361,0.000591361,0.000591361
37,527.779,0.90371,0.93418,1.13962,0.70095,0.17764,0.18127,0.11404,1.48391,2.37967,1.72701,0.000586286,0.000586286,0.000586286
38,540.724,0.90206,0.88585,1.17387,0.27654,0.13435,0.12276,0.07492,1.53282,2.91378,1.70953,0.00058121,0.00058121,0.00058121
39,558.696,0.91285,0.92839,1.14953,0.40846,0.14834,0.14884,0.0861,1.57098,2.56768,1.82682,0.000576135,0.000576135,0.000576135
40,571.395,0.91538,1.00525,1.19414,0.56377,0.25055,0.27089,0.15609,1.52589,2.67278,1.81549,0.000571059,0.000571059,0.000571059
41,584.436,0.89007,0.89272,1.14263,0.87842,0.13136,0.19268,0.11634,1.59312,2.74653,1.92229,0.000565984,0.000565984,0.000565984
42,597.622,0.86815,0.87633,1.11555,0.62429,0.15612,0.20596,0.11053,1.64331,2.91189,1.82039,0.000560909,0.000560909,0.000560909
43,609.59,0.88358,0.85079,1.11727,0.36998,0.26638,0.22392,0.13332,1.71705,2.60402,1.98034,0.000555833,0.000555833,0.000555833
44,624.569,0.8782,0.872,1.12155,0.67332,0.25671,0.29023,0.1745,1.68688,2.33188,2.03285,0.000550758,0.000550758,0.000550758
45,634.887,0.84942,0.83617,1.11362,0.64733,0.24491,0.23242,0.12985,1.55588,2.69173,1.85127,0.000545682,0.000545682,0.000545682
46,649.022,0.85785,0.85887,1.14111,0.50353,0.16425,0.19673,0.10883,1.52218,2.83194,1.78914,0.000540607,0.000540607,0.000540607
47,659.241,0.80592,0.79485,1.09394,0.33103,0.17078,0.17276,0.11076,1.46386,2.99189,1.77926,0.000535532,0.000535532,0.000535532
48,674.112,0.80265,0.7784,1.08692,0.22476,0.22301,0.1713,0.08565,1.52941,2.91052,1.83337,0.000530456,0.000530456,0.000530456
49,684.079,0.79258,0.78984,1.08131,0.781,0.13605,0.1625,0.10067,1.39803,2.62946,1.68483,0.000525381,0.000525381,0.000525381
50,700.604,0.81531,0.78552,1.08689,0.19184,0.23435,0.20018,0.13933,1.49854,2.50453,1.72727,0.000520305,0.000520305,0.000520305
51,709.934,0.80101,0.76298,1.08612,0.77472,0.16443,0.22284,0.16124,1.34134,2.76354,1.62066,0.00051523,0.00051523,0.00051523
52,726.062,0.77416,0.72362,1.08034,0.37829,0.18503,0.19649,0.13455,1.43129,2.73539,1.68645,0.000510155,0.000510155,0.000510155
53,736.449,0.80828,0.74313,1.11621,0.17479,0.21284,0.21145,0.13492,1.44169,2.7221,1.66246,0.000505079,0.000505079,0.000505079
54,752.458,0.79859,0.72746,1.08302,0.16153,0.20374,0.20482,0.11365,1.49317,2.85708,1.76311,0.000500004,0.000500004,0.000500004
55,763.834,0.79975,0.74584,1.08097,0.21535,0.25166,0.22689,0.13018,1.48627,2.4865,1.7831,0.000494928,0.000494928,0.000494928
56,780.747,0.78643,0.71859,1.06894,0.39926,0.25417,0.29377,0.17926,1.53194,2.44784,1.82908,0.000489853,0.000489853,0.000489853
57,799.185,0.76553,0.72258,1.08442,0.41613,0.35391,0.34501,0.239,1.45803,2.23217,1.74307,0.000484778,0.000484778,0.000484778
58,811.347,0.74087,0.68283,1.04126,0.20876,0.22724,0.21184,0.14267,1.40698,2.25836,1.62083,0.000479702,0.000479702,0.000479702
59,823.348,0.76086,0.73341,1.07072,0.67955,0.15986,0.21294,0.12196,1.59069,2.38077,1.92567,0.000474627,0.000474627,0.000474627
60,835.421,0.74522,0.68826,1.06275,0.66985,0.17347,0.21787,0.12453,1.6348,2.3792,2.01388,0.000469551,0.000469551,0.000469551
61,849.072,0.78899,0.6914,1.07245,0.36636,0.17314,0.2077,0.12544,1.5117,2.52014,1.83619,0.000464476,0.000464476,0.000464476
62,859.971,0.76804,0.73395,1.09724,0.35045,0.26665,0.22976,0.12877,1.5917,2.63513,1.90289,0.000459401,0.000459401,0.000459401
63,873.629,0.81079,0.71359,1.10563,0.2116,0.27036,0.28221,0.15611,1.50304,2.46185,1.80358,0.000454325,0.000454325,0.000454325
64,885.84,0.74677,0.68011,1.04942,0.34292,0.26497,0.30874,0.165,1.62808,2.3734,1.93846,0.00044925,0.00044925,0.00044925
65,901.114,0.74161,0.66355,1.06275,0.53542,0.22756,0.31655,0.18925,1.60292,2.37502,1.8995,0.000444174,0.000444174,0.000444174
66,911.824,0.75086,0.65814,1.08572,0.48733,0.21259,0.28048,0.16729,1.54213,2.5569,1.88143,0.000439099,0.000439099,0.000439099
67,928.43,0.72967,0.65219,1.03689,0.52333,0.18573,0.24986,0.16185,1.53939,2.59944,1.98281,0.000434024,0.000434024,0.000434024
68,938.694,0.71832,0.65186,1.0468,0.36887,0.23605,0.29411,0.18211,1.55963,2.51317,1.96869,0.000428948,0.000428948,0.000428948
69,953.589,0.71772,0.64181,1.038,0.44056,0.23095,0.28718,0.17718,1.49102,2.69157,1.87292,0.000423873,0.000423873,0.000423873
70,963.088,0.69839,0.65454,1.03946,0.34731,0.35601,0.33171,0.21615,1.45159,2.44416,1.79974,0.000418797,0.000418797,0.000418797
71,978.748,0.70776,0.66687,1.02873,0.36574,0.25699,0.2746,0.17618,1.55982,2.58533,1.78694,0.000413722,0.000413722,0.000413722
72,989.505,0.70537,0.63636,1.02236,0.35385,0.26987,0.2626,0.1562,1.62038,2.56788,1.876,0.000408647,0.000408647,0.000408647
73,1005.38,0.69474,0.61891,1.00774,0.38012,0.30952,0.24444,0.15429,1.55603,2.73057,1.80145,0.000403571,0.000403571,0.000403571
74,1015.57,0.70602,0.61206,1.05031,0.52565,0.19728,0.25523,0.17396,1.43972,2.6071,1.72477,0.000398496,0.000398496,0.000398496
75,1034.03,0.67647,0.60181,1.00949,0.40208,0.25141,0.2441,0.16019,1.49346,3.08002,1.71497,0.00039342,0.00039342,0.00039342
76,1045.71,0.6408,0.57749,0.99914,0.21212,0.20885,0.21358,0.14726,1.49495,3.07495,1.72175,0.000388345,0.000388345,0.000388345
77,1062.69,0.61093,0.56275,0.99966,0.41272,0.18844,0.24594,0.15462,1.51521,2.93364,1.71311,0.00038327,0.00038327,0.00038327
78,1073,0.67606,0.6257,1.025,0.30337,0.29274,0.28082,0.18677,1.51843,2.91808,1.70126,0.000378194,0.000378194,0.000378194
79,1088.76,0.65931,0.58226,1.01399,0.37457,0.33848,0.30814,0.20466,1.43992,2.80624,1.73333,0.000373119,0.000373119,0.000373119
80,1101.06,0.6361,0.57068,1.01883,0.32037,0.29892,0.25681,0.16745,1.47774,2.95311,1.7926,0.000368043,0.000368043,0.000368043
81,1116.45,0.66204,0.5818,1.0149,0.24352,0.18333,0.23015,0.13585,1.58171,3.30615,1.86327,0.000362968,0.000362968,0.000362968
