epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1757,1.45395,4.68301,1.57546,0.61896,0.07143,0.05673,0.03821,1.42699,6.16277,1.63078,8.459e-05,8.459e-05,8.459e-05
2,39.2823,1.26369,3.11472,1.4402,0.05694,0.12925,0.06076,0.0329,1.45729,9.8785,1.67913,0.000173368,0.000173368,0.000173368
3,49.8418,1.27905,2.66727,1.42362,0.64809,0.09691,0.06291,0.03731,1.65005,5.98309,1.75257,0.000258492,0.000258492,0.000258492
4,63.7372,1.21629,2.30176,1.32712,0.74844,0.12245,0.13762,0.07694,1.48947,4.17417,1.7387,0.000339961,0.000339961,0.000339961
5,77.3225,1.19488,2.05616,1.33323,0.5349,0.14456,0.14607,0.09686,1.28245,4.05661,1.54115,0.000417776,0.000417776,0.000417776
6,89.7685,1.17267,1.92772,1.3662,0.37829,0.16621,0.09104,0.05478,1.44953,3.76585,1.76237,0.000491937,0.000491937,0.000491937
7,104.006,1.18631,1.84842,1.32997,0.64328,0.12755,0.13673,0.06249,1.57191,2.84546,1.85182,0.000562444,0.000562444,0.000562444
8,117.833,1.23965,1.7638,1.34165,0.23297,0.19558,0.09083,0.05138,1.69961,3.13417,2.03124,0.000629296,0.000629296,0.000629296
9,128.96,1.1568,1.72701,1.32284,0.2699,0.14604,0.11061,0.06532,1.68509,3.14808,1.93326,0.00064719,0.00064719,0.00064719
10,145.536,1.18433,1.67978,1.37182,0.21983,0.16131,0.11823,0.0668,1.74881,2.93184,1.9657,0.000631964,0.000631964,0.000631964
11,159.503,1.2476,1.68982,1.32565,0.55942,0.12755,0.13182,0.07699,1.65421,2.84063,1.95911,0.000616738,0.000616738,0.000616738
12,170.619,1.19127,1.61588,1.34813,0.4921,0.11735,0.12757,0.04942,1.95547,2.8546,2.30561,0.000601512,0.000601512,0.000601512
13,184.522,1.16788,1.50536,1.31369,0.52518,0.12715,0.13797,0.07443,1.66348,2.42133,1.90588,0.000586286,0.000586286,0.000586286
14,197.72,1.12105,1.42746,1.29595,0.48671,0.16231,0.18688,0.11324,1.55435,2.79529,1.79572,0.000571059,0.000571059,0.000571059
15,209.006,1.11677,1.37486,1.27806,0.09688,0.22733,0.13435,0.06721,1.63931,2.86383,1.89619,0.000555833,0.000555833,0.000555833
16,222.609,1.10029,1.39467,1.31413,0.29895,0.08758,0.09146,0.04719,1.72864,3.11896,2.01773,0.000540607,0.000540607,0.000540607
17,235.849,1.05327,1.22413,1.2519,0.04702,0.20238,0.07759,0.04007,1.76595,2.94759,2.09885,0.000525381,0.000525381,0.000525381
18,247.055,1.07458,1.22295,1.26836,0.1671,0.43197,0.17486,0.09973,1.70184,2.46349,1.99309,0.000510155,0.000510155,0.000510155
19,260.922,1.06939,1.22167,1.27688,0.157,0.44354,0.27069,0.16569,1.61796,2.38424,1.9394,0.000494928,0.000494928,0.000494928
20,271.979,1.00528,1.10688,1.23062,0.81992,0.31256,0.39573,0.2211,1.59219,2.14561,1.89706,0.000479702,0.000479702,0.000479702
21,284.887,1.01706,1.13789,1.21149,0.63589,0.3398,0.28021,0.1595,1.49766,2.32273,1.78345,0.000464476,0.000464476,0.000464476
22,299.191,0.9899,1.0685,1.19399,0.45933,0.23755,0.23606,0.13485,1.4491,2.39323,1.7679,0.00044925,0.00044925,0.00044925
23,309.882,0.99606,1.05455,1.19269,0.37212,0.19397,0.21659,0.14477,1.46389,2.28183,1.72066,0.000434024,0.000434024,0.000434024
24,323.478,0.96508,1.0782,1.18781,0.5453,0.18875,0.18018,0.11908,1.58068,2.56987,1.80835,0.000418797,0.000418797,0.000418797
25,336.798,0.8684,0.94382,1.13863,0.35007,0.19014,0.17314,0.1067,1.55072,2.56136,1.77106,0.000403571,0.000403571,0.000403571
26,348.825,0.93604,1.00754,1.21052,0.79512,0.21054,0.22498,0.14048,1.52036,2.40272,1.78267,0.000388345,0.000388345,0.000388345
27,361.315,0.90132,0.94101,1.16382,0.48254,0.20021,0.24949,0.15766,1.51962,2.38595,1.79206,0.000373119,0.000373119,0.000373119
