epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8419,1.45395,4.68301,1.57546,0.61896,0.07143,0.05673,0.03821,1.42699,6.16277,1.63078,8.459e-05,8.459e-05,8.459e-05
2,56.4678,1.26195,3.11178,1.44238,0.059,0.13941,0.06413,0.03401,1.46434,9.58012,1.69483,0.000175119,0.000175119,0.000175119
3,67.6725,1.2699,2.66462,1.41788,0.65071,0.09524,0.07673,0.04744,1.60853,5.34145,1.77405,0.000263821,0.000263821,0.000263821
4,84.4759,1.21952,2.27778,1.34662,0.52404,0.13435,0.09038,0.0454,1.48753,4.59513,1.6701,0.000350696,0.000350696,0.000350696
5,95.4802,1.22087,2.05702,1.36117,0.07329,0.23621,0.08353,0.05724,1.50284,4.59639,1.75733,0.000435743,0.000435743,0.000435743
6,113.285,1.18499,1.96511,1.37439,0.74549,0.14116,0.10113,0.06989,1.56991,4.21987,1.8694,0.000518963,0.000518963,0.000518963
7,125.249,1.22518,1.91529,1.35992,0.23977,0.19319,0.08958,0.05247,1.69398,3.22874,2.03723,0.000600357,0.000600357,0.000600357
8,143.259,1.27645,1.84607,1.36495,0.27267,0.11205,0.07987,0.04843,1.63671,2.94805,1.9946,0.000679923,0.000679923,0.000679923
9,159.258,1.22274,1.80113,1.37207,0.35333,0.14966,0.07958,0.0357,1.9416,4.31579,2.25818,0.000708095,0.000708095,0.000708095
10,173.811,1.21429,1.74911,1.39872,0.28702,0.18197,0.13598,0.06944,1.72995,2.89976,2.10977,0.000700482,0.000700482,0.000700482
11,188.095,1.22603,1.72965,1.32415,0.40172,0.13776,0.09395,0.05154,1.74135,2.9277,2.0512,0.000692869,0.000692869,0.000692869
12,202.779,1.1955,1.67471,1.35642,0.28956,0.12415,0.12508,0.07395,1.88868,2.6575,2.10413,0.000685256,0.000685256,0.000685256
13,217.523,1.17853,1.57908,1.35171,0.46624,0.15123,0.17066,0.09918,1.63738,2.69462,1.94433,0.000677643,0.000677643,0.000677643
14,231.696,1.1138,1.46481,1.31107,0.40229,0.2415,0.17986,0.12073,1.5432,2.85765,1.89104,0.00067003,0.00067003,0.00067003
15,246.112,1.15481,1.44427,1.31429,0.2747,0.12406,0.11585,0.06578,1.52938,2.73336,1.81526,0.000662417,0.000662417,0.000662417
16,258.797,1.1324,1.51899,1.32219,0.80851,0.16837,0.18736,0.11414,1.6244,2.82508,1.9369,0.000654804,0.000654804,0.000654804
17,275.081,1.08755,1.27163,1.27195,0.44063,0.2534,0.18289,0.11538,1.61886,2.94422,1.91219,0.00064719,0.00064719,0.00064719
18,286.525,1.11865,1.33292,1.28982,0.68209,0.20238,0.1451,0.08736,1.60048,3.02951,2.01723,0.000639577,0.000639577,0.000639577
19,301.387,1.14472,1.36023,1.32347,0.47883,0.27721,0.18981,0.09937,1.59472,2.59153,1.85653,0.000631964,0.000631964,0.000631964
20,314.462,1.07308,1.18229,1.29259,0.45447,0.26361,0.16779,0.06849,1.74258,2.73907,1.99323,0.000624351,0.000624351,0.000624351
21,330.129,1.08231,1.23246,1.25607,0.82643,0.07746,0.10038,0.04886,1.69752,2.95263,1.86669,0.000616738,0.000616738,0.000616738
22,342.818,1.05289,1.15678,1.24429,0.55144,0.17007,0.1367,0.07681,1.62576,2.79063,1.81718,0.000609125,0.000609125,0.000609125
23,358.206,1.08323,1.20486,1.25511,0.07359,0.14796,0.11466,0.06534,1.78836,2.93165,1.86316,0.000601512,0.000601512,0.000601512
24,373.981,1.07033,1.20826,1.24053,0.27497,0.14116,0.12072,0.07344,1.7251,3.02869,1.86324,0.000593899,0.000593899,0.000593899
25,391.671,0.99633,1.1062,1.21498,0.4221,0.16463,0.16671,0.10143,1.75267,2.71872,1.95937,0.000586286,0.000586286,0.000586286
26,402.92,1.00751,1.16412,1.27112,0.27789,0.11054,0.09703,0.05394,1.67577,3.17958,2.05957,0.000578672,0.000578672,0.000578672
27,420.004,1.0173,1.06823,1.22539,0.29769,0.11395,0.13323,0.08949,1.66598,3.16274,2.08569,0.000571059,0.000571059,0.000571059
28,430.777,1.02561,1.08081,1.2317,0.57806,0.09886,0.12652,0.07468,1.66858,2.93907,1.98751,0.000563446,0.000563446,0.000563446
29,446.961,0.95001,1.02262,1.17137,0.69504,0.17823,0.17437,0.09196,1.64384,2.97126,1.92206,0.000555833,0.000555833,0.000555833
30,458.571,0.94582,1.00329,1.17101,0.42392,0.14762,0.17978,0.09022,1.63581,2.88035,1.89216,0.00054822,0.00054822,0.00054822
31,474.898,0.91383,1.00481,1.17627,0.25492,0.21395,0.17064,0.0854,1.67197,2.79504,2.01086,0.000540607,0.000540607,0.000540607
32,486.608,0.95157,0.94965,1.1738,0.19134,0.31429,0.17604,0.0947,1.67623,2.52713,1.92232,0.000532994,0.000532994,0.000532994
33,502.786,0.89508,0.98913,1.15623,0.66523,0.18147,0.23036,0.14904,1.66243,2.40503,1.87739,0.000525381,0.000525381,0.000525381
34,513.128,0.93584,0.9894,1.18902,0.81688,0.21158,0.23876,0.15375,1.66142,2.29331,1.9225,0.000517768,0.000517768,0.000517768
35,529.926,0.95591,0.97229,1.19026,0.66344,0.30518,0.29501,0.17392,1.54736,2.39061,1.84489,0.000510155,0.000510155,0.000510155
36,540.54,0.85686,0.90133,1.14228,0.27356,0.30578,0.22129,0.12462,1.58765,2.49552,1.91037,0.000502541,0.000502541,0.000502541
37,555.52,0.86318,0.88122,1.11952,0.60242,0.21918,0.16719,0.09272,1.5956,2.62759,1.88798,0.000494928,0.000494928,0.000494928
38,566.631,0.85917,0.86819,1.14636,0.09063,0.13095,0.13383,0.06761,1.62053,2.79731,1.96245,0.000487315,0.000487315,0.000487315
39,583.365,0.83485,0.8511,1.12226,0.08193,0.128,0.10113,0.05902,1.54057,2.79827,1.90089,0.000479702,0.000479702,0.000479702
40,594.676,0.86688,0.91838,1.16349,0.12821,0.15594,0.11234,0.06778,1.5659,2.98914,1.88276,0.000472089,0.000472089,0.000472089
41,612.932,0.84753,0.8051,1.11933,0.26572,0.16156,0.16056,0.10086,1.58609,3.20115,1.87369,0.000464476,0.000464476,0.000464476
42,629.611,0.82241,0.81079,1.09053,0.4005,0.18027,0.15101,0.0904,1.61371,3.07235,1.89141,0.000456863,0.000456863,0.000456863
