epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1335.43,1.22787,1.37408,1.40787,0.48996,0.42909,0.37747,0.25845,1.46372,2.02991,1.67106,0.00104231,0.00104231,0.00104231
43,1367.06,1.17958,1.32902,1.37024,0.46791,0.45333,0.41264,0.26965,1.50812,2.13513,1.69382,0.00103288,0.00103288,0.00103288
44,1396.58,1.22616,1.37278,1.40762,0.4395,0.46303,0.40863,0.27211,1.46958,1.93756,1.64081,0.00102345,0.00102345,0.00102345
45,1427.69,1.15941,1.31378,1.36802,0.37678,0.40429,0.351,0.23182,1.64202,2.59897,1.78024,0.00101402,0.00101402,0.00101402
46,1459.82,1.195,1.29131,1.3676,0.468,0.4198,0.34669,0.22421,1.57631,2.4892,1.74973,0.00100459,0.00100459,0.00100459
47,1490.53,1.146,1.27477,1.34121,0.36175,0.47273,0.38939,0.2457,1.4563,1.97903,1.61281,0.000995156,0.000995156,0.000995156
48,1520.66,1.16617,1.30099,1.36132,0.39921,0.40172,0.38056,0.2533,1.48286,1.87595,1.67027,0.000985724,0.000985724,0.000985724
49,1552.77,1.14817,1.26727,1.35089,0.44357,0.42298,0.35939,0.2335,1.62541,2.2389,1.79245,0.000976293,0.000976293,0.000976293
50,1584.1,1.1592,1.23639,1.3591,0.32408,0.44985,0.37548,0.24212,1.48319,2.04624,1.70342,0.000966861,0.000966861,0.000966861
51,1615.9,1.15031,1.19715,1.34923,0.48424,0.39558,0.40217,0.25859,1.47867,1.89831,1.64556,0.00095743,0.00095743,0.00095743
52,1647.04,1.11198,1.19663,1.32013,0.48768,0.4647,0.39311,0.26193,1.46755,2.1902,1.63766,0.000947999,0.000947999,0.000947999
53,1678.36,1.1262,1.20149,1.32737,0.39074,0.48705,0.37289,0.2437,1.55363,2.21672,1.7066,0.000938567,0.000938567,0.000938567
54,1709.92,1.10587,1.14113,1.30538,0.43828,0.32063,0.30034,0.19905,1.64828,2.57824,1.86113,0.000929136,0.000929136,0.000929136
55,1738.9,1.07142,1.11407,1.29429,0.49863,0.37027,0.35272,0.2455,1.52057,2.15728,1.71714,0.000919704,0.000919704,0.000919704
56,1770.7,1.08073,1.10548,1.2944,0.64154,0.47537,0.46835,0.29593,1.42046,1.9618,1.57968,0.000910273,0.000910273,0.000910273
57,1803.36,1.05162,1.05819,1.27668,0.56254,0.44715,0.42159,0.28139,1.6361,2.32032,1.80198,0.000900842,0.000900842,0.000900842
58,1834.42,1.08604,1.1168,1.29717,0.41737,0.49601,0.41666,0.27259,1.47611,1.86483,1.69396,0.00089141,0.00089141,0.00089141
59,1863.59,1.1033,1.12607,1.31093,0.51968,0.50426,0.41971,0.28906,1.42988,2.10879,1.62879,0.000881979,0.000881979,0.000881979
60,1895.24,1.06967,1.05521,1.29217,0.61648,0.4041,0.4503,0.3024,1.42301,1.94987,1.60715,0.000872547,0.000872547,0.000872547
61,1929.85,1.0442,1.04125,1.26016,0.64448,0.3896,0.43322,0.28101,1.55886,1.98319,1.71123,0.000863116,0.000863116,0.000863116
62,1959.31,1.01847,0.99068,1.26036,0.39919,0.43442,0.37197,0.23616,1.54348,2.01465,1.70313,0.000853685,0.000853685,0.000853685
63,1990.55,1.05249,1.0119,1.26614,0.64738,0.37155,0.39941,0.27644,1.50367,1.95859,1.69238,0.000844253,0.000844253,0.000844253
64,2022.59,1.01186,0.95274,1.2434,0.42147,0.39684,0.3573,0.23709,1.54467,2.14917,1.71428,0.000834822,0.000834822,0.000834822
65,2054.16,1.00395,0.95117,1.23222,0.5369,0.44654,0.42889,0.27063,1.52152,1.86441,1.70112,0.00082539,0.00082539,0.00082539
66,2083.53,1.03031,0.96706,1.26686,0.49639,0.45486,0.41942,0.28312,1.47617,2.06999,1.62751,0.000815959,0.000815959,0.000815959
67,2114.25,1.0064,0.95703,1.23973,0.57276,0.43788,0.47347,0.3067,1.42822,1.83047,1.5872,0.000806528,0.000806528,0.000806528
68,2145.78,0.96031,0.92226,1.20753,0.52779,0.37542,0.44812,0.30124,1.45698,1.84402,1.6539,0.000797096,0.000797096,0.000797096
69,2177.58,0.97921,0.91461,1.21323,0.5913,0.45497,0.44738,0.29275,1.55326,2.02389,1.74606,0.000787665,0.000787665,0.000787665
70,2207.07,0.97704,0.89011,1.21293,0.57944,0.3211,0.39248,0.25564,1.49503,2.13644,1.65771,0.000778233,0.000778233,0.000778233
71,2240.86,0.94512,0.8674,1.20576,0.46094,0.42616,0.37965,0.26037,1.54164,2.09344,1.73297,0.000768802,0.000768802,0.000768802
72,2272.56,0.96306,0.90002,1.198,0.56465,0.48466,0.46128,0.31311,1.51457,2.08064,1.65292,0.000759371,0.000759371,0.000759371
73,2302.71,0.90261,0.84125,1.17118,0.427,0.5284,0.43235,0.29293,1.52871,1.97745,1.76039,0.000749939,0.000749939,0.000749939
74,2332.62,0.96377,0.88622,1.22274,0.54978,0.50196,0.446,0.29559,1.51007,1.92431,1.71341,0.000740508,0.000740508,0.000740508
75,2364.29,0.90579,0.82024,1.16811,0.54958,0.46423,0.4536,0.30143,1.46732,2.08531,1.62559,0.000731076,0.000731076,0.000731076
76,2396.2,0.92348,0.83235,1.18457,0.54473,0.45386,0.43082,0.28919,1.50331,1.95784,1.68673,0.000721645,0.000721645,0.000721645
77,2426.08,0.90074,0.82792,1.18387,0.59978,0.4017,0.42145,0.27027,1.51843,2.05577,1.70474,0.000712214,0.000712214,0.000712214
78,2456.58,0.93807,0.88672,1.20302,0.59371,0.44204,0.47265,0.31253,1.4663,1.81693,1.62321,0.000702782,0.000702782,0.000702782
79,2488.51,0.9064,0.83497,1.16602,0.4845,0.51276,0.45418,0.29932,1.48791,1.90323,1.68056,0.000693351,0.000693351,0.000693351
80,2520.37,0.89812,0.80048,1.15557,0.58971,0.48734,0.46572,0.31257,1.59595,1.96073,1.80435,0.000683919,0.000683919,0.000683919
81,2551.37,0.91211,0.78545,1.17355,0.62398,0.49672,0.47217,0.31715,1.49537,2.12602,1.6819,0.000674488,0.000674488,0.000674488
82,2583.39,0.87189,0.77786,1.1487,0.56921,0.48403,0.45688,0.30232,1.58405,2.02699,1.81399,0.000665057,0.000665057,0.000665057
83,2615.44,0.89291,0.78956,1.16949,0.59246,0.43164,0.44773,0.28195,1.53171,2.06654,1.71918,0.000655625,0.000655625,0.000655625
84,2644.84,0.86009,0.78098,1.14459,0.49948,0.48507,0.43283,0.28254,1.60413,2.12869,1.81228,0.000646194,0.000646194,0.000646194
85,2676.07,0.86231,0.76543,1.14541,0.52716,0.51924,0.47686,0.3235,1.51282,1.85316,1.70052,0.000636762,0.000636762,0.000636762
