epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1567.19,1.34158,1.58979,1.39432,0.33269,0.27221,0.28113,0.16155,1.75911,2.18068,1.82297,0.000810363,0.000810363,0.000810363
43,1603.76,1.33154,1.51631,1.38524,0.20788,0.29265,0.24121,0.13495,1.91121,2.42473,1.90933,0.000803031,0.000803031,0.000803031
44,1640.71,1.31564,1.48101,1.36864,0.27656,0.3465,0.29504,0.16526,1.80081,2.23876,1.83705,0.000795698,0.000795698,0.000795698
45,1677.63,1.30517,1.45613,1.3918,0.27542,0.37274,0.31157,0.18246,1.73444,2.11512,1.77597,0.000788366,0.000788366,0.000788366
46,1714.56,1.30824,1.48803,1.36629,0.47705,0.28092,0.29179,0.15469,1.77141,2.38608,1.81197,0.000781033,0.000781033,0.000781033
47,1750.49,1.29939,1.47519,1.37861,0.30047,0.30847,0.26189,0.14555,1.7971,2.22087,1.90616,0.0007737,0.0007737,0.0007737
48,1786.36,1.28073,1.42064,1.36679,0.35106,0.34456,0.30284,0.15982,1.75296,2.14386,1.89747,0.000766368,0.000766368,0.000766368
49,1822.74,1.27638,1.43193,1.36972,0.40932,0.30071,0.30445,0.15308,1.80341,2.16855,1.89407,0.000759035,0.000759035,0.000759035
50,1859.63,1.2546,1.39014,1.3555,0.28151,0.4069,0.31086,0.16233,1.78134,2.30677,1.87788,0.000751703,0.000751703,0.000751703
51,1896.25,1.22552,1.37187,1.33155,0.41257,0.29433,0.29584,0.15599,1.80378,2.25882,1.85105,0.00074437,0.00074437,0.00074437
52,1932.58,1.29756,1.38437,1.35413,0.34333,0.30766,0.26964,0.15253,1.69404,2.31185,1.78298,0.000737037,0.000737037,0.000737037
53,1969.13,1.30381,1.36973,1.37367,0.51792,0.3677,0.31173,0.15572,1.85018,2.21041,1.90956,0.000729705,0.000729705,0.000729705
54,2005.93,1.21605,1.30351,1.32447,0.28293,0.36677,0.30825,0.17637,1.77806,2.27432,1.91369,0.000722372,0.000722372,0.000722372
55,2042.85,1.22077,1.3072,1.32164,0.36902,0.34551,0.31138,0.17607,1.81661,2.15975,1.89329,0.00071504,0.00071504,0.00071504
56,2079.66,1.20968,1.30126,1.29794,0.52887,0.33728,0.28971,0.16309,1.75907,2.28449,1.84242,0.000707707,0.000707707,0.000707707
57,2115.76,1.18669,1.24522,1.3015,0.37618,0.31094,0.29554,0.16943,1.73288,2.25216,1.82395,0.000700374,0.000700374,0.000700374
58,2153.52,1.22803,1.26886,1.33687,0.36355,0.28986,0.2974,0.16343,1.73951,2.27475,1.82288,0.000693042,0.000693042,0.000693042
59,2190.36,1.20488,1.21721,1.29464,0.30745,0.28967,0.27644,0.16099,1.78917,2.28279,1.87431,0.000685709,0.000685709,0.000685709
60,2227.06,1.15905,1.21688,1.27527,0.27213,0.3416,0.29222,0.16789,1.73487,2.17075,1.88705,0.000678377,0.000678377,0.000678377
61,2263.43,1.20004,1.25706,1.30677,0.32048,0.30535,0.29041,0.15562,1.82657,2.27318,1.94337,0.000671044,0.000671044,0.000671044
62,2299.91,1.20609,1.20535,1.3128,0.28352,0.32471,0.29141,0.16376,1.85177,2.23997,1.93115,0.000663711,0.000663711,0.000663711
63,2336.35,1.18482,1.21041,1.29518,0.38549,0.29287,0.30693,0.17369,1.77097,2.23043,1.84548,0.000656379,0.000656379,0.000656379
64,2372.89,1.16903,1.17961,1.29761,0.32709,0.28264,0.28751,0.17818,1.73518,2.32424,1.85558,0.000649046,0.000649046,0.000649046
65,2409.34,1.18362,1.14287,1.28687,0.45414,0.35511,0.34245,0.20313,1.77821,2.37418,1.85182,0.000641714,0.000641714,0.000641714
66,2446.47,1.10753,1.11513,1.24681,0.33845,0.29414,0.3163,0.18292,1.82106,2.19034,1.91881,0.000634381,0.000634381,0.000634381
67,2483.65,1.13197,1.15265,1.25176,0.29062,0.32166,0.27566,0.15923,1.83273,2.1987,1.90502,0.000627048,0.000627048,0.000627048
68,2521.31,1.14711,1.13636,1.27198,0.28287,0.31277,0.29546,0.16894,1.83973,2.31556,1.9423,0.000619716,0.000619716,0.000619716
69,2557.83,1.08692,1.08052,1.25687,0.39307,0.39808,0.34864,0.1881,1.82097,2.23996,1.97374,0.000612383,0.000612383,0.000612383
70,2594.17,1.1099,1.06554,1.2484,0.3768,0.33052,0.31677,0.18014,1.87761,2.27452,1.96904,0.000605051,0.000605051,0.000605051
71,2631.07,1.07964,1.05608,1.21703,0.46172,0.28308,0.32681,0.18468,1.95105,2.17674,2.08128,0.000597718,0.000597718,0.000597718
72,2668.43,1.08602,1.07699,1.23585,0.37205,0.27373,0.29724,0.17986,1.79091,2.27661,1.90288,0.000590385,0.000590385,0.000590385
73,2704.94,1.10112,1.02963,1.23411,0.31895,0.29079,0.31989,0.17594,1.85287,2.20283,1.9246,0.000583053,0.000583053,0.000583053
74,2741.36,1.08555,1.03022,1.2232,0.3865,0.35437,0.30688,0.17324,1.82468,2.30818,1.92065,0.00057572,0.00057572,0.00057572
75,2777.45,1.08708,1.0383,1.23315,0.66428,0.28219,0.32116,0.17209,1.83531,2.20504,1.89397,0.000568388,0.000568388,0.000568388
76,2814.59,1.07966,1.03492,1.22928,0.68293,0.26037,0.31169,0.17499,1.75402,2.2495,1.86838,0.000561055,0.000561055,0.000561055
77,2851.49,1.06911,1.05997,1.22842,0.39326,0.33712,0.33861,0.18849,1.82639,2.27381,1.92269,0.000553722,0.000553722,0.000553722
78,2888.22,1.07545,1.03729,1.21887,0.4311,0.28234,0.30916,0.16455,1.88301,2.24145,1.9354,0.00054639,0.00054639,0.00054639
79,2925.4,1.05833,1.02266,1.22182,0.31842,0.34221,0.30559,0.16802,1.85128,2.23172,1.95948,0.000539057,0.000539057,0.000539057
80,2961.73,1.03431,0.97477,1.19769,0.4944,0.26971,0.30541,0.16499,1.84253,2.33515,1.95175,0.000531725,0.000531725,0.000531725
81,2999.24,1.03121,0.9614,1.19269,0.69662,0.30689,0.34888,0.18581,1.90549,2.15621,1.99173,0.000524392,0.000524392,0.000524392
82,3036.32,1.06866,0.99347,1.20809,0.43112,0.28929,0.31999,0.17866,1.89431,2.27431,2.00619,0.000517059,0.000517059,0.000517059
