epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3959,0.55046,0.53203,0.98848,0.68088,0.18796,0.2625,0.18511,1.26789,2.72727,1.55645,8.459e-05,8.459e-05,8.459e-05
2,49.9498,0.53304,0.45606,0.94978,0.56406,0.27211,0.24921,0.1715,1.39546,2.65743,1.65676,0.000173368,0.000173368,0.000173368
3,63.4235,0.59533,0.50611,0.99059,0.32501,0.25811,0.31224,0.22247,1.38991,2.71269,1.66182,0.000258492,0.000258492,0.000258492
4,78.4316,0.57836,0.50027,0.97457,0.44537,0.21209,0.30043,0.19129,1.40138,2.63079,1.74444,0.000339961,0.000339961,0.000339961
5,89.1026,0.60471,0.54074,0.97938,0.46595,0.32607,0.34048,0.20213,1.41995,2.5216,1.72007,0.000417776,0.000417776,0.000417776
6,105.947,0.62285,0.54997,1.00872,0.58555,0.35884,0.33242,0.18526,1.6085,2.66321,1.87875,0.000491937,0.000491937,0.000491937
7,118.512,0.64947,0.55739,0.98875,0.33589,0.31017,0.22035,0.11911,1.55443,2.78101,1.8587,0.000562444,0.000562444,0.000562444
8,132.201,0.70454,0.6229,1.00064,0.36503,0.15816,0.20992,0.13045,1.70677,2.74776,2.02691,0.000629296,0.000629296,0.000629296
9,146.523,0.67495,0.61365,1.01428,0.28754,0.15775,0.18258,0.10304,1.83717,2.87555,2.15561,0.00064719,0.00064719,0.00064719
10,157.455,0.72197,0.68258,1.07419,0.31654,0.18928,0.20478,0.11756,1.72195,2.88973,2.09331,0.000631964,0.000631964,0.000631964
11,174.124,0.73842,0.66321,1.0167,0.40893,0.22643,0.21007,0.11954,1.63482,3.13752,1.96521,0.000616738,0.000616738,0.000616738
12,184.254,0.68819,0.65504,1.03033,0.21514,0.18707,0.18954,0.11529,1.70142,3.56365,2.02051,0.000601512,0.000601512,0.000601512
13,199.692,0.70445,0.67882,1.03444,0.17549,0.20567,0.20078,0.12548,1.70616,3.06891,1.99406,0.000586286,0.000586286,0.000586286
14,213.48,0.67288,0.6491,1.03813,0.21551,0.26664,0.1786,0.10914,1.74187,3.0016,2.00325,0.000571059,0.000571059,0.000571059
15,224.968,0.69536,0.60663,1.02157,0.35227,0.23308,0.16859,0.10656,1.8195,3.31559,2.03064,0.000555833,0.000555833,0.000555833
16,240.453,0.68126,0.65742,1.04771,0.35895,0.12077,0.18236,0.11743,1.80363,3.82033,2.12153,0.000540607,0.000540607,0.000540607
17,251.886,0.68851,0.63107,1.02578,0.17673,0.21663,0.21059,0.15254,1.59582,2.95303,1.95553,0.000525381,0.000525381,0.000525381
18,267.485,0.69602,0.63573,1.03146,0.62038,0.2466,0.23553,0.15923,1.58457,2.69011,1.88783,0.000510155,0.000510155,0.000510155
19,285.05,0.71726,0.63057,1.04859,0.83947,0.19898,0.22284,0.14323,1.67699,2.75797,2.00958,0.000494928,0.000494928,0.000494928
20,297.641,0.66745,0.60392,1.02468,0.86335,0.20918,0.22403,0.15203,1.7167,2.81872,2.04665,0.000479702,0.000479702,0.000479702
21,312.705,0.66621,0.58303,1.00583,0.43546,0.28587,0.28663,0.16469,1.725,3.10583,2.03308,0.000464476,0.000464476,0.000464476
22,324.164,0.66353,0.57395,1.02326,0.52546,0.22667,0.22874,0.13722,1.63335,3.15635,1.93983,0.00044925,0.00044925,0.00044925
23,338.761,0.67555,0.59771,1.00722,0.65134,0.16837,0.21847,0.15638,1.55921,2.891,1.78442,0.000434024,0.000434024,0.000434024
24,352.806,0.6736,0.60795,1.00691,0.21208,0.23628,0.24423,0.16401,1.54205,2.83317,1.78651,0.000418797,0.000418797,0.000418797
25,365.36,0.59247,0.54133,0.97935,0.26554,0.25961,0.21875,0.15249,1.50835,2.85686,1.76066,0.000403571,0.000403571,0.000403571
26,380.528,0.61223,0.57319,1.02275,0.48899,0.17696,0.20097,0.12739,1.63802,3.19968,1.85308,0.000388345,0.000388345,0.000388345
27,391.386,0.6347,0.54922,0.99781,0.90337,0.16327,0.26873,0.1911,1.59039,3.11848,1.86299,0.000373119,0.000373119,0.000373119
28,406.748,0.62239,0.54761,0.99469,0.68197,0.1856,0.28578,0.18674,1.55651,3.03503,1.87533,0.000357893,0.000357893,0.000357893
29,417.443,0.60502,0.52141,0.98563,0.42084,0.34846,0.31117,0.1889,1.54958,3.06153,1.89584,0.000342666,0.000342666,0.000342666
30,433.023,0.60176,0.52601,0.97967,0.34193,0.31973,0.29909,0.17241,1.54124,3.14481,1.80534,0.00032744,0.00032744,0.00032744
31,445.02,0.57919,0.505,0.97596,0.51921,0.29041,0.32129,0.1652,1.57504,3.12472,1.84838,0.000312214,0.000312214,0.000312214
32,459.071,0.60066,0.50711,0.97263,0.35694,0.29963,0.27817,0.15478,1.56655,3.34633,1.88069,0.000296988,0.000296988,0.000296988
33,473.627,0.56589,0.49919,0.97793,0.51523,0.31925,0.26821,0.18353,1.56468,3.2522,1.91958,0.000281762,0.000281762,0.000281762
34,484.742,0.59018,0.51851,1.00639,0.2494,0.32366,0.26242,0.18797,1.57494,3.25119,1.91393,0.000266535,0.000266535,0.000266535
35,500.599,0.57892,0.5093,0.9814,0.39759,0.20918,0.26848,0.18109,1.70173,3.32285,2.04133,0.000251309,0.000251309,0.000251309
36,510.889,0.55334,0.48752,0.97014,0.55186,0.24369,0.30922,0.18382,1.59646,2.87198,1.97601,0.000236083,0.000236083,0.000236083
